Order ID,Order Date,Supplier,Product,Category,Warehouse,City,Quantity Ordered,Quantity Received,Unit Cost (INR),Expected Delivery Days,Actual Delivery Days,Stock Level,Reorder Level,Order Status,Pending Quantity,Delivery Variance,Order Value (INR),Inventory Status
ORD00001,24-11-2025,Zenith Supply,Smartphone,Electronics,WH-South-02,Hyderabad,96,96,13572.72,13,17,16,94,Delivered,0,4,1302981.12,Reorder Needed
ORD00002,16-01-2025,Mahindra Logistics,Laptop,Electronics,WH-Central-04,Lucknow,38,38,10628.92,14,18,301,97,Delivered,0,4,403898.96,Overstocked
ORD00003,23-05-2025,Om Logistics,Laptop,Electronics,WH-East-01,Chennai,104,104,4817.27,8,7,183,52,Delivered,0,-1,500996.08,Overstocked
ORD00004,26-06-2025,Apex Logistics,Car Battery,Automotive,WH-West-03,Jaipur,88,88,4389.77,9,8,316,146,Delivered,0,-1,386299.76,Overstocked
ORD00005,05-07-2025,Nexus Global,Brake Pads,Automotive,WH-North-01,Hyderabad,420,223,1586.49,4,4,232,75,Partially Delivered,197,0,666325.8,Overstocked
ORD00006,22-11-2025,FastTrack Corp,Air Fryer,Home & Kitchen,WH-East-01,Hyderabad,368,368,2054.8,13,12,273,61,Delivered,0,-1,756166.4,Overstocked
ORD00007,09-01-2026,Delhivery Direct,Denim Jeans,Apparel,WH-West-03,Chennai,498,498,1534,11,11,28,147,Delivered,0,0,763932,Reorder Needed
ORD00008,28-04-2025,Om Logistics,Wireless Headphones,Electronics,WH-East-01,Delhi,133,133,16540.69,12,13,202,103,Delivered,0,1,2199911.77,Optimal
ORD00009,26-11-2025,Zenith Supply,Protein Powder,FMCG,WH-South-02,Hyderabad,406,0,851.71,7,9,185,91,In Transit,406,2,345794.26,Overstocked
ORD00010,23-04-2025,Delhivery Direct,Track Pants,Apparel,WH-North-01,Mumbai,465,355,552.85,13,13,32,116,Partially Delivered,110,0,257075.25,Reorder Needed
ORD00011,17-07-2025,Delhivery Direct,Shampoo Bottle,FMCG,WH-Central-04,Chennai,308,308,1225.97,3,2,136,108,Delivered,0,-1,377598.76,Optimal
ORD00012,29-01-2026,Zenith Supply,Mixer Grinder,Home & Kitchen,WH-West-03,Bengaluru,257,0,815.25,14,14,91,137,Cancelled,257,0,209519.25,Reorder Needed
ORD00013,17-09-2025,Zenith Supply,Tablet,Electronics,WH-Central-04,Lucknow,126,0,3767.7,5,9,271,158,Cancelled,126,4,474730.2,Optimal
ORD00014,01-01-2025,Delhivery Direct,Car Battery,Automotive,WH-North-01,Delhi,500,500,1888.22,7,7,290,152,Delivered,0,0,944110,Optimal
ORD00015,10-02-2025,Delhivery Direct,Tablet,Electronics,WH-North-01,Jaipur,417,0,3312.78,13,16,135,61,Cancelled,417,3,1381429.26,Overstocked
ORD00016,28-09-2025,Mahindra Logistics,LED Headlights,Automotive,WH-Central-04,Hyderabad,390,390,1678.04,13,14,231,106,Delivered,0,1,654435.6,Overstocked
ORD00017,03-03-2025,Nexus Global,Denim Jeans,Apparel,WH-East-01,Mumbai,326,326,1374.75,12,12,30,130,Delivered,0,0,448168.5,Reorder Needed
ORD00018,28-04-2025,FastTrack Corp,Smartphone,Electronics,WH-North-01,Jaipur,146,146,5878.42,10,10,292,132,Delivered,0,0,858249.32,Overstocked
ORD00019,23-10-2025,Delhivery Direct,Protein Powder,FMCG,WH-West-03,Hyderabad,73,73,271.16,9,10,27,99,Delivered,0,1,19794.68,Reorder Needed
